Area,Year obs,Date/time start,Date/time end,Content,GeoTIFF,Shapefile,File type,Site info,Event,Latitude,Longitude,Date/Time
"Aalen, Germany",1989,1989-08-01,1989-10-31,Vegetation index,c7126_Aalen_NDVI_19890801-19891031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1990,1990-05-01,1990-07-31,Vegetation index,c7126_Aalen_NDVI_19900501-19900731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1990,1990-08-01,1990-10-31,Vegetation index,c7126_Aalen_NDVI_19900801-19901031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1991,1991-05-01,1991-07-31,Vegetation index,c7126_Aalen_NDVI_19910501-19910731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1991,1991-08-01,1991-10-31,Vegetation index,c7126_Aalen_NDVI_19910801-19911031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1994,1994-05-01,1994-07-31,Vegetation index,c7126_Aalen_NDVI_19940501-19940731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1994,1994-08-01,1994-10-31,Vegetation index,c7126_Aalen_NDVI_19940801-19941031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1995,1995-05-01,1995-07-31,Vegetation index,c7126_Aalen_NDVI_19950501-19950731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1997,1997-08-01,1997-10-31,Vegetation index,c7126_Aalen_NDVI_19970801-19971031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1998,1998-05-01,1998-07-31,Vegetation index,c7126_Aalen_NDVI_19980501-19980731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1998,1998-08-01,1998-10-31,Vegetation index,c7126_Aalen_NDVI_19980801-19981031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1999,1999-08-01,1999-10-31,Vegetation index,c7126_Aalen_NDVI_19990801-19991031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2000,2000-05-01,2000-07-31,Vegetation index,c7126_Aalen_NDVI_20000501-20000731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2000,2000-08-01,2000-10-31,Vegetation index,c7126_Aalen_NDVI_20000801-20001031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2001,2001-05-01,2001-07-31,Vegetation index,c7126_Aalen_NDVI_20010501-20010731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2001,2001-08-01,2001-10-31,Vegetation index,c7126_Aalen_NDVI_20010801-20011031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
