Event,Sample label,Half,Depth sed,Age,Cluster,SST,SST std dev,Latitude,Longitude,Elevation,Date/Time
383-U1539C,"383-U1539C-11H-4,105-107",Working (W),100.55,0.606071741,3.0,1.78797045,1.955757613,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-11H-5,35-37",Working (W),101.35,0.612410456,4.0,0.509441369,0.838182086,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-11H-5,115-117",Working (W),102.15,0.61874917,2.0,1.80964369,1.601555476,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539D,"383-U1539D-9H-2,134-136",Working (W),105.33,0.631053924,4.0,1.051466526,1.329066623,-56.1512,-115.1341,-4081.0,2019-06-05 15:30:00
383-U1539D,"383-U1539D-9H-3,65-67",Working (W),106.13,0.634737872,4.0,0.757938157,0.774580218,-56.1512,-115.1341,-4081.0,2019-06-05 15:30:00
383-U1539D,"383-U1539D-9H-4,35-37",Working (W),107.33,0.640263794,4.0,0.434075383,0.653587068,-56.1512,-115.1341,-4081.0,2019-06-05 15:30:00
383-U1539D,"383-U1539D-9H-4,115-117",Working (W),108.13,0.643947742,4.0,0.640842553,0.632120349,-56.1512,-115.1341,-4081.0,2019-06-05 15:30:00
383-U1539C,"383-U1539C-12H-4-,14-16",Working (W),109.15,0.662349062,4.0,1.530175737,1.641295482,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-12H-4,134-136",Working (W),110.35,0.667470995,,0.434374939,1.34404561,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-12H-5,103-105",Working (W),111.55,0.671440334,4.0,0.757938403,0.77458106,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-12H-6,32-34",Working (W),112.35,0.674086561,4.0,0.764081347,1.359015396,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-12H-6,112-114",Working (W),113.15,0.676732787,4.0,0.757937907,0.77457954,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-12H-7,02-04",Working (W),113.55,0.6780559,4.0,0.540756936,0.809355873,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
