Site,Country,Province,Lab label,Comm,Dating meth,Age dated,Age dated std dev,Age dated_2,Age dated std dev_2,Reference,Cal age max,Cal age min
Gua Niah,Malaysia,Sarawak,Spot-27,No_c14,U-series,28.9,100.0,,,"Curnoe D, Datan I, Zhao J-x, Leh Moi Ung C, Aubert M, Sauffi MS, et al. (2018) Rare Late Pleistocene-early Holocene human mandibles from the Niah Caves (Sarawak, Borneo). PLoS ONE 13 (6): e0196633.",,
Gua Niah,Malaysia,Sarawak,OxA-16695,Uncalibrated,Radiocarbon age,26.51,120.0,,,"Szabó, K., Cole, F., Lloyd-Smith, L., Barker, G., Hunt, C., Piper, P. J., & Doherty, C. (2013). The ‘Metal Age’at the Niah Caves, c. 2000–500 years ago. Rainforest Foraging and Farming in Island Southeast Asia: The Archaeology of the Niah Caves, Sarawak, 1, 288-340.",31.055,30.403
Gua Niah,Malaysia,Sarawak,E/B1 100,No_c14,U-series,25.5,20.0,,,"Curnoe D, Datan I, Zhao J-x, Leh Moi Ung C, Aubert M, Sauffi MS, et al. (2018) Rare Late Pleistocene-early Holocene human mandibles from the Niah Caves (Sarawak, Borneo). PLoS ONE 13 (6): e0196633.",,
Gua Niah,Malaysia,Sarawak,E/B1 100,No_c14,U-series,21.7,50.0,,,"Curnoe D, Datan I, Zhao J-x, Leh Moi Ung C, Aubert M, Sauffi MS, et al. (2018) Rare Late Pleistocene-early Holocene human mandibles from the Niah Caves (Sarawak, Borneo). PLoS ONE 13 (6): e0196633.",,
Gua Niah,Malaysia,Sarawak,Spot-12,No_c14,U-series,18.9,100.0,,,"Curnoe D, Datan I, Zhao J-x, Leh Moi Ung C, Aubert M, Sauffi MS, et al. (2018) Rare Late Pleistocene-early Holocene human mandibles from the Niah Caves (Sarawak, Borneo). PLoS ONE 13 (6): e0196633.",,
Gua Niah,Malaysia,Sarawak,OxA-16694,Uncalibrated,Radiocarbon age,16.515,60.0,,,"Szabó, K., Cole, F., Lloyd-Smith, L., Barker, G., Hunt, C., Piper, P. J., & Doherty, C. (2013). The ‘Metal Age’at the Niah Caves, c. 2000–500 years ago. Rainforest Foraging and Farming in Island Southeast Asia: The Archaeology of the Niah Caves, Sarawak, 1, 288-340.",20.165,19.622
Gua Niah,Malaysia,Sarawak,D/N5 42–48,No_c14,U-series,10.6,10.0,,,"Curnoe D, Datan I, Zhao J-x, Leh Moi Ung C, Aubert M, Sauffi MS, et al. (2018) Rare Late Pleistocene-early Holocene human mandibles from the Niah Caves (Sarawak, Borneo). PLoS ONE 13 (6): e0196633.",,
Gua Niah,Malaysia,Sarawak,E/W 33 24–66,No_c14,U-series,9.4,30.0,,,"Curnoe D, Datan I, Zhao J-x, Leh Moi Ung C, Aubert M, Sauffi MS, et al. (2018) Rare Late Pleistocene-early Holocene human mandibles from the Niah Caves (Sarawak, Borneo). PLoS ONE 13 (6): e0196633.",,
Gua Niah,Malaysia,Sarawak,Brooks1,Uncalibrated,Radiocarbon age,5.0,,,,"Barker, G. (2005). The archaeology of foraging and farming at Niah Cave, Sarawak. Asian Perspectives, 44(1), 90–106. https://doi.org/10.1353/asi.2005.0004",5.843,5.66
Gua Niah,Malaysia,Sarawak,Rikagaku Kenkyusho laboratory,Uncalibrated,Radiocarbon age,4.99,90.0,,,"Cochrane, E. E., Rieth, T. M., & Filimoehala, D. (2021). The first quantitative assessment of radiocarbon chronologies for initial pottery in Island Southeast Asia supports multi-directional Neolithic dispersal. PloS one, 16(6), e0251407.",5.919,5.585
Gua Niah,Malaysia,Sarawak,GX-0310,Uncalibrated,Radiocarbon age,4.135,330.0,,,"Szabó, K., Cole, F., Lloyd-Smith, L., Barker, G., Hunt, C., Piper, P. J., & Doherty, C. (2013). The ‘Metal Age’at the Niah Caves, c. 2000–500 years ago. Rainforest Foraging and Farming in Island Southeast Asia: The Archaeology of the Niah Caves, Sarawak, 1, 288-340.",5.578,3.834
Gua Niah,Malaysia,Sarawak,Wk-19568,Uncalibrated,Radiocarbon age,3.067,33.0,,,"Szabó, K., Cole, F., Lloyd-Smith, L., Barker, G., Hunt, C., Piper, P. J., & Doherty, C. (2013). The ‘Metal Age’at the Niah Caves, c. 2000–500 years ago. Rainforest Foraging and Farming in Island Southeast Asia: The Archaeology of the Niah Caves, Sarawak, 1, 288-340.",3.366,3.177
Gua Niah,Malaysia,Sarawak,OxA-18401,Uncalibrated,Radiocarbon age,3.03,55.0,,,"Lloyd-Smith, L. (2013). The west mouth neolithic cemetery, Niah Cave, Sarawak. In Proceedings of the Prehistoric Society (Vol. 79, pp. 105–136). https://doi.org/10.1017/ppr.2013.10",3.37,3.069
